system:index,.geo,Latitude,Longitude,Predicted_LST
186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5448211134074,12.807730163334078]}",12.80773,77.544821,36.924038
187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.549312689828,12.807730163334078]}",12.80773,77.549313,37.318134
188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55560089681683,12.807730163334078]}",12.80773,77.555601,36.243885
189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6050082374434,12.807730163334078]}",12.80773,77.605008,35.547817
190,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6418391640923,12.807730163334078]}",12.80773,77.641839,35.366512
191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65261894750174,12.807730163334078]}",12.80773,77.652619,35.14109
192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65351726278585,12.807730163334078]}",12.80773,77.653517,34.782196
193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65621220863822,12.807730163334078]}",12.80773,77.656212,35.402176
194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65711052392234,12.807730163334078]}",12.80773,77.657111,36.465126
195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6642970461953,12.807730163334078]}",12.80773,77.664297,35.509212
196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67956840602533,12.807730163334078]}",12.80773,77.679568,33.416492
197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70112797284419,12.807730163334078]}",12.80773,77.701128,33.977776
198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70382291869656,12.807730163334078]}",12.80773,77.703823,32.396637
199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70651786454891,12.807730163334078]}",12.80773,77.706518,31.441973
200,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72089090909482,12.807730163334078]}",12.80773,77.720891,35.21769
201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74155216062957,12.807730163334078]}",12.80773,77.741552,34.45159
202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75412857460725,12.807730163334078]}",12.80773,77.754129,34.591072
203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41546371249419,12.808628478618198]}",12.808628,77.415464,37.480835
204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4163620277783,12.808628478618198]}",12.808628,77.416362,37.333336
205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41726034306242,12.808628478618198]}",12.808628,77.41726,37.001553
206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45678621556368,12.808628478618198]}",12.808628,77.456786,35.34279
207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46487105312076,12.808628478618198]}",12.808628,77.464871,37.271175
208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47295589067784,12.808628478618198]}",12.808628,77.472956,37.180885
209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47744746709843,12.808628478618198]}",12.808628,77.477447,36.8071
210,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49990534920143,12.808628478618198]}",12.808628,77.499905,37.186882
211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50260029505378,12.808628478618198]}",12.808628,77.5026,35.05421
212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50799018675849,12.808628478618198]}",12.808628,77.50799,37.253006
213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5313463841456,12.808628478618198]}",12.808628,77.531346,31.464745
214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5403295369868,12.808628478618198]}",12.808628,77.54033,34.30314
215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59422845403397,12.808628478618198]}",12.808628,77.594228,35.0441
216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59872003045457,12.808628478618198]}",12.808628,77.59872,30.829082
217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60231329159105,12.808628478618198]}",12.808628,77.602313,33.195396
218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61129644443224,12.808628478618198]}",12.808628,77.611296,36.19416
219,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62477117369403,12.808628478618198]}",12.808628,77.624771,35.589752
